,loop_i,ID,state,county,city,neighborhood,lon,lat,lon_width,lat_width
28,28.0,275783.0,AK,Anchorage,Anchorage,Turnagain Arm,-149.3323544,60.9669995,0.8327123,0.1675134
29,29.0,267852.0,AK,Anchorage,Anchorage,Scenic Foothills,-149.7409485,61.1880389,0.0449296,0.0145618
30,30.0,267844.0,AK,Anchorage,Anchorage,Mid-Hillside,-149.7743754,61.1326117,0.0598052,0.0676336
31,31.0,102543.0,AK,Anchorage,Anchorage,Rogers Park,-149.8486304,61.1950836,0.0388108,0.0140645
32,32.0,267841.0,AK,Anchorage,Anchorage,Government Hill,-149.8667416,61.2373979,0.07183,0.0294468
33,33.0,267832.0,AK,Anchorage,Anchorage,Basher,-149.7191401,61.1658879,0.0949138,0.0297836
34,34.0,267851.0,AK,Anchorage,Anchorage,Sand Lake,-149.991354,61.1475773,0.1670574,0.0532443
35,35.0,267836.0,AK,Anchorage,Anchorage,Downtown,-149.8863331,61.2202242,0.0420002,0.0132013
36,36.0,276385.0,AK,Anchorage,Anchorage,Huffman-O'malley,-149.8153798,61.1104266,0.0820989,0.0325131
37,37.0,102412.0,AK,Anchorage,Anchorage,Mountain View,-149.8188285,61.225209,0.0809634,0.0153483
38,38.0,276496.0,AL,Mobile,Mobile,Oakleigh,-88.0926078,30.7208401,0.0216929,0.0118509
39,39.0,275732.0,AL,Mobile,Mobile,Theodore Industrial Park,-88.1388308,30.5355157,0.0713404,0.0384948
